RI Zone,District,Club Name,Club Status,Current Member Count,Club ID
Zone 5,3000,Tiruchirapalli Metropolitan,Active,10,88931
Zone 5,3000,Tiruchirapalli Rockcity,Active,66,22856
Zone 5,3000,Tiruchirappalli Eye Donation,Active,20,225912
Zone 5,3000,Tiruchirappalli Visionaries,Active,26,228218
Zone 5,3000,Tiruchirappalli Winners,Active,15,227156
Zone 5,3000,Tiruchi Thamizhachi,Active,10,89934
Zone 5,3000,Tiruchy Central,Active,38,61144
Zone 5,3000,Tiruchy Sangamam,Active,14,227609
Zone 5,3000,Tiruchy Stars,Active,18,222423
Zone 5,3000,Tiruverumpur Barath,Active,18,53972
Zone 5,3000,T. Palur,Active,15,227311
Zone 5,3000,Trichirapalli North,Active,18,84975
Zone 5,3000,Trichirappalli Royal,Active,15,86017
Zone 5,3000,Trichy City,Active,22,86158
Zone 5,3000,Trichy Clouds,Active,13,91252
Zone 5,3000,Trichy DC Pride,Active,48,89976
Zone 5,3000,Trichy Delta,Active,18,227190
Zone 5,3000,Trichy Diamond City Elite,Active,21,225006
Zone 5,3000,Trichy Dreamers,Active,80,227141
Zone 5,3000,Trichy Heritage,Active,14,90423
Zone 5,3000,Trichy Kings,Active,8,90711
Zone 5,3000,Trichy Legends,Active,20,227480
Zone 5,3000,Trichy Majestic,Active,42,227329
Zone 5,3000,Trichy Nexus,Active,25,228249
Zone 5,3000,Trichy Pioneers,Active,15,228153
Zone 5,3000,Trichy Rainbow,Active,26,228198
Zone 5,3000,Trichy River Town,Active,15,225527
Zone 5,3000,Trichy River Town Gen Z,Active,15,228078
Zone 5,3000,Trichy Royal Kings,Active,25,228216
Zone 5,3000,Trichy Thalir Thalaimurai,Active,15,228241
Zone 5,3000,Trichy Thendral,Active,15,226163
Zone 5,3000,Trichy Titans,Active,29,228203
Zone 5,3000,Trichy Tolgate Central,Active,25,228253
Zone 5,3000,Trichy Wings,Active,25,228246
Zone 5,3000,Trichy Zhagaram,Active,31,228240
Zone 5,3000,Usilampatti,Active,25,84532
Zone 5,3000,Varadarajanpettai,Active,15,228155
Zone 5,3000,Viralimalai,Active,15,228089
Zone 4,3011,Central Youth Shakti (Faridabad),Active,5,223054
Zone 4,3011,Delhi,Active,25,15232
Zone 4,3011,Delhi Adiva,Active,39,225488
Zone 4,3011,Delhi Akash Megapolis,Active,23,65596
Zone 4,3011,Delhi AMIGOS,Active,18,224262
Zone 4,3011,Delhi Aura,Active,12,226157
Zone 4,3011,Delhi Cama Place,Active,21,25232
Zone 4,3011,Delhi Chanakyapuri,Active,15,15233
Zone 4,3011,Delhi Connaught Place Raisina Hills,Active,17,31443
Zone 4,3011,Delhi Cosmopolitan Greater,Active,21,29197
Zone 4,3011,Delhi Divine,Active,56,87402
Zone 4,3011,Delhi Divine Aces,Active,25,228222
Zone 4,3011,Delhi Dynamic,Active,23,225449
Zone 4,3011,Delhi Euphoria,Active,22,225642
Zone 4,3011,Delhi Femina,Active,75,87625
Zone 4,3011,Delhi Garden City,Active,62,26311
Zone 4,3011,Delhi Golfers,Active,15,227167
Zone 4,3011,Delhi Heritage,Active,67,56006
Zone 4,3011,Delhi Infinity,Active,42,87892
Zone 4,3011,Delhiites,Active,72,89492
Zone 4,3011,Delhi Lutyens,Active,41,83667
Zone 4,3011,Delhi Madhyam,Active,14,91111
Zone 4,3011,Delhi Manthan,Active,39,89180
Zone 4,3011,Delhi Millennium,Active,40,85857
Zone 4,3011,Delhi Nexus,Active,19,227223
Zone 4,3011,Delhi Orchids,Active,16,226288
Zone 4,3011,Delhi Platinum,Active,26,227134
Zone 4,3011,Delhi Purple,Active,15,227164
Zone 4,3011,Delhi Qutab,Active,38,15237
Zone 4,3011,Delhi Rajendra Place,Active,14,23718
Zone 4,3011,Delhi Regalia,Active,55,90544
Zone 4,3011,Delhi Regency Next,Active,32,88905
Zone 4,3011,Delhi Rendezvous GenNext,Active,28,228032
Zone 4,3011,Delhi Resources,Active,21,224707
Zone 4,3011,Delhi Restoring Smiles,Active,13,88783
Zone 4,3011,Delhi Safdarjung,Active,46,28380
Zone 4,3011,Delhi Select,Active,18,227460
Zone 4,3011,Delhi Soar High,Active,21,224674
Zone 4,3011,Delhi South Central Next,Active,25,89026
Zone 4,3011,Delhi Southend Evolve,Active,22,226155
Zone 4,3011,Delhi Southend Next,Active,77,83974
Zone 4,3011,Delhi South Metropolitan,Active,24,24631
Zone 4,3011,Delhi Stellar,Active,34,89564
Zone 4,3011,Delhi Sunrise,Active,15,227918
Zone 4,3011,Delhi Vasant Valley,Active,40,31608
Zone 4,3011,Delhi Vasant Vihar,Active,28,89332
Zone 4,3011,E-Club of E.A.R.T.H,Active,24,226230
Zone 4,3011,E-Club of Progressive Thinkers,Active,12,223011
Zone 4,3011,Faridabad Aastha,Active,27,81299
Zone 4,3011,Faridabad Amrita,Active,18,225904
Zone 4,3011,Faridabad Arth,Active,43,87561
Zone 4,3011,Faridabad Central,Active,37,15244
Zone 4,3011,Faridabad City,Active,29,221969
Zone 4,3011,Faridabad Cosmopolitan,Active,19,86177
Zone 4,3011,Faridabad Diamond,Active,15,227997
Zone 4,3011,Faridabad East,Active,83,15245
Zone 4,3011,Faridabad Elite,Active,16,88334
Zone 4,3011,Faridabad Excellence,Active,47,226334
Zone 4,3011,Faridabad Grace,Active,37,88091
Zone 4,3011,Faridabad Greater,Active,47,83865
Zone 4,3011,Faridabad Green,Active,11,87217
Zone 4,3011,Faridabad Happiness,Active,20,224149
Zone 4,3011,Faridabad Heritage,Active,55,91228
Zone 4,3011,Faridabad Imperial,Active,49,224670
Zone 4,3011,Faridabad IMT,Active,47,91213
Zone 4,3011,Faridabad IMT Next,Active,12,225511
Zone 4,3011,Faridabad Industrial Town,Active,17,27006
Zone 4,3011,Faridabad Josh,Active,19,225261
Zone 4,3011,Faridabad Lifeline,Active,4,224189
Zone 4,3011,Faridabad Mid Town,Active,66,79173
Zone 4,3011,Faridabad N.I.T.,Active,57,31392
Zone 4,3011,Faridabad NIT Next,Active,16,91237
Zone 4,3011,Faridabad One,Active,76,87181
Zone 4,3011,Faridabad Prerna,Active,4,225319
Zone 4,3011,Faridabad Professionals,Active,10,91226
Zone 4,3011,Faridabad Sanskar,Active,57,80572
Zone 4,3011,Faridabad Sanskriti,Active,43,223182
Zone 4,3011,Faridabad Sapphires,Active,32,225486
Zone 4,3011,Faridabad Tulips,Active,39,90165
Zone 4,3011,Gurgaon Central,Active,46,225532
Zone 4,3011,Gurgaon Civil Lines,Active,32,91215
Zone 4,3011,Gurgaon Premier,Active,22,227193
Zone 4,3011,Gurgaon Spundan,Active,17,228226
Zone 4,3011,Narnaul Bellas,Active,24,91225
Zone 4,3011,Narnaul City,Active,59,79706
Zone 4,3011,Narnaul Royals,Active,8,227325
Zone 4,3011,Narnaul Unity,Active,10,225802
Zone 4,3011,National Capital Region Golfers,Active,23,222646
Zone 4,3011,New Gurgaon,Active,35,91216
Zone 4,3011,Palwal City,Active,21,84173
Zone 4,3011,Palwal Parivar,Active,21,225645
Zone 4,3011,Palwal Sanskar,Active,24,90420
Zone 4,3011,Rewari City,Active,36,84178
Zone 4,3011,Rewari Main,Active,38,30759
Zone 4,3011,Rewari Royals,Active,30,222796
Zone 4,3011,Rohtak,Active,88,15295
Zone 4,3011,Rohtak Central,Active,11,227159
Zone 4,3011,Rohtak City,Active,66,83840
Zone 4,3011,Rohtak Heritage,Active,22,225503
Zone 4,3011,Rohtak Next,Active,62,225516
Zone 4,3011,Rohtak Royal,Active,7,88901
Zone 4,3011,Rohtak Sapphire,Active,87,223180
Zone 4,3011,Rohtak Scholars,Active,336,87891
Zone 4,3011,South Gurugram,Active,20,227294
Zone 4,3012,Dadri,Active,54,15317
Zone 4,3012,Dankaur,Active,6,223028
Zone 4,3012,Delhi Aagaz,Active,2,222780
Zone 4,3012,Delhi Accord,Active,12,223485
Zone 4,3012,Delhi Akshar,Active,164,227592
Zone 4,3012,Delhi Aspire,Active,13,87624
Zone 4,3012,Delhi Bridge,Active,7,224721
Zone 4,3012,Delhi Civil Lines,Active,20,30018
Zone 4,3012,Delhi Ekta,Active,17,228064
Zone 4,3012,Delhi Karma,Active,23,88277
Zone 4,3012,Delhi Legacy,Active,11,87447
Zone 4,3012,Delhi Magnificent,Active,3,222627
Zone 4,3012,Delhi Marvel,Active,3,222637
Zone 4,3012,Delhi Metro,Active,25,77205
Zone 4,3012,Delhi Mystics,Active,13,224744
Zone 4,3012,Delhi NCR Vibrant,Active,6,91066
Zone 4,3012,Delhi Riverside,Active,38,69616
Zone 4,3012,Delhi Royal East,Active,17,225809
Zone 4,3012,Delhi Superstars,Active,7,223404
Zone 4,3012,Delhi University,Active,12,15327
Zone 4,3012,Delhi Victory,Active,7,90949
Zone 4,3012,Delhi Vinod Nagar,Active,6,223287
Zone 4,3012,E-Club of Connect D 3012,Active,9,88184
Zone 4,3012,Ganaur Central,Active,19,82387
Zone 4,3012,Ganaur Royal,Active,15,222323
Zone 4,3012,Ghaziabad Anant,Active,89,90616
Zone 4,3012,Ghaziabad Ashoka,Active,6,223397
Zone 4,3012,Ghaziabad Astha,Active,6,223369
Zone 4,3012,Ghaziabad Central,Active,76,28109
Zone 4,3012,Ghaziabad Centurion,Active,12,222987
Zone 4,3012,Ghaziabad Century,Active,11,90952
Zone 4,3012,Ghaziabad City,Active,39,78334
Zone 4,3012,Ghaziabad Diamond,Active,7,223392
Zone 4,3012,Ghaziabad Divine,Active,3,222787
Zone 4,3012,Ghaziabad Elite,Active,33,91223
Zone 4,3012,Ghaziabad Excellence,Active,6,76413
Zone 4,3012,Ghaziabad Gold,Active,38,225763
Zone 4,3012,Ghaziabad Grace,Active,6,223213
Zone 4,3012,Ghaziabad Green,Active,13,90645
Zone 4,3012,Ghaziabad Green Smart City,Active,8,225769
Zone 4,3012,Ghaziabad Gulmohar,Active,6,223366
Zone 4,3012,Ghaziabad Gyankhand,Active,7,223284
Zone 4,3012,Ghaziabad Harmony,Active,7,222633
